log.concentration,curve.predict,ci.values
-1.2041199826559248,100,3.257899836328495e-17
-1.202010663366988,100,3.478177566092063e-17
-1.1999013440780513,100,3.713341669667042e-17
-1.1977920247891143,100,3.96439764885315e-17
-1.1956827055001775,100,4.232418885449578e-17
-1.1935733862112408,100,4.518551221139785e-17
-1.191464066922304,100,4.8240178461984136e-17
-1.1893547476333672,100,5.1501245178316913e-17
-1.1872454283444303,100,5.4982651303636223e-17
-1.1851361090554935,100,5.869927660975945e-17
-1.1830267897665567,100,6.266700516307202e-17
-1.18091747047762,100,6.690279306918607e-17
-1.1788081511886832,100,7.142474078454563e-17
-1.1766988318997462,100,7.625217030265157e-17
-1.1745895126108095,100,8.140570754331204e-17
-1.1724801933218727,100,8.690737029540515e-17
-1.170370874032936,100,9.27806620872727e-17
-1.1682615547439992,100,9.905067238401021e-17
-1.1661522354550624,100,1.0574418353782358e-16
-1.1640429161661254,100,1.1288978494629426e-16
-1.1619335968771887,100,1.2051799490400756e-16
-1.159824277588252,100,1.286613906656908e-16
-1.1577149582993151,100,1.3735474727384772e-16
-1.1556056390103784,100,1.4663518574112368e-16
-1.1534963197214414,100,1.5654233121733647e-16
-1.1513870004325046,100,1.6711848181349769e-16
-1.1492776811435679,100,1.78408788800414e-16
-1.1471683618546311,100,1.9046144894768924e-16
-1.1450590425656944,100,2.0332790982054837e-16
-1.1429497232767574,100,2.170630889068255e-16
-1.1408404039878206,100,2.317256075051931e-16
-1.1387310846988838,100,2.473780403683522e-16
-1.136621765409947,100,2.640871821616993e-16
-1.1345124461210103,100,2.8192433186938387e-16
-1.1324031268320733,100,3.0096559635577273e-16
-1.1302938075431366,100,3.2129221437158516e-16
-1.1281844882541998,100,3.42990902380724e-16
-1.126075168965263,100,3.661542236762869e-16
-1.1239658496763263,100,3.908809823530838e-16
-1.1218565303873893,100,4.172766438093386e-16
-1.1197472110984525,100,4.454537835627275e-16
-1.1176378918095158,100,4.755325662859853e-16
-1.115528572520579,100,5.07641257095375e-16
-1.1134192532316423,100,5.41916767262012e-16
-1.1113099339427053,100,5.785052366619862e-16
-1.1092006146537685,100,6.175626554368402e-16
-1.1070912953648318,100,6.592555275022271e-16
-1.104981976075895,100,7.037615787197228e-16
