log.concentration,curve.predict,ci.values
-0.1674159687806646,100,2.010554181804779e-89
-0.16488478563394043,100,2.8043754056863682e-89
-0.16235360248721625,100,3.91161152628479e-89
-0.1598224193404921,100,5.4560015061488275e-89
-0.15729123619376792,100,7.61013639408465e-89
-0.15476005304704377,100,1.0614745649657028e-88
-0.15222886990031959,100,1.4805597337255777e-88
-0.14969768675359543,100,2.0651017926209588e-88
-0.14716650360687125,100,2.880422398269139e-88
-0.1446353204601471,100,4.0176312980923356e-88
-0.14210413731342292,100,5.603806868969379e-88
-0.13957295416669876,100,7.816195598326694e-88
-0.13704177101997458,100,1.090201701533194e-87
-0.13451058787325043,100,1.5206086850143305e-87
-0.13197940472652625,100,2.120934468206524e-87
-0.1294482215798021,100,2.9582590614650895e-87
-0.12691703843307792,100,4.126143468625506e-87
-0.12438585528635376,100,5.755083260746031e-87
-0.12185467213962958,100,8.027088675542931e-87
-0.11932348899290543,100,1.1196020138924983e-86
-0.11679230584618125,100,1.561595107607335e-86
-0.1142611226994571,100,2.178072664277061e-86
-0.11172993955273292,100,3.037913773689158e-86
-0.10919875640600876,100,4.237187405726026e-86
-0.1066675732592846,100,5.909885291811221e-86
-0.10413639011256043,100,8.242891376579554e-86
-0.10160520696583626,100,1.1496860090580076e-85
-0.0990740238191121,100,1.603533574540965e-85
-0.09654284067238793,100,2.2365365923705537e-85
-0.09401165752566376,100,3.119414565189941e-85
-0.0914804743789396,100,4.3508019810017395e-85
-0.08894929123221543,100,6.068266865509069e-85
-0.08641810808549126,100,8.463678445422031e-85
-0.0838869249387671,100,1.180464050704771e-84
-0.08135574179204293,100,1.6464384548626608e-84
-0.07882455864531876,100,2.29634617382387e-84
-0.07629337549859459,100,3.202789053504366e-84
-0.07376219235187043,100,4.467025479307875e-84
-0.07123100920514626,100,6.230281051254151e-84
-0.06869982605842209,100,8.689523441173955e-84
-0.06616864291169793,100,1.2119463342035899e-83
-0.06363745976497376,100,1.6903238786222283e-83
-0.06110627661824959,100,2.3575209906806493e-83
-0.058575093471525425,100,3.28806437461677e-83
-0.05604391032480126,100,4.585895502212965e-83
-0.05351272717807709,100,6.395979949167726e-83
-0.050981544031352924,100,8.920498548250613e-83
-0.04845036088462876,100,1.2441428600064718e-82
-0.045919177737904604,100,1.735203699553118e-82
-0.04338799459118044,100,2.4200802333648496e-82
-0.04085681144445627,100,3.375267109590398e-82
-0.03832562829773209,100,4.707448865128869e-82
-0.035794445151007936,100,6.565414545843877e-82
-0.033263262004283756,100,9.156674374152265e-82
-0.030732078857559603,100,1.2770634052936417e-81
-0.028200895710835422,100,1.7810914553212946e-81
-0.02566971256411127,100,2.484042644948584e-81
-0.023138529417387088,100,3.464423206431612e-81
-0.020607346270662935,100,4.831721487767875e-81
-0.018076163123938754,100,6.738634560776866e-81
-0.015544979977214601,100,9.398119734165003e-81
-0.01301379683049042,100,1.3107174937903202e-80
-0.010482613683766268,100,1.828000325211415e-80
-0.007951430537042087,100,2.549426461834787e-80
-0.005420247390317934,100,3.555557896935645e-80
-0.0028890642435937808,100,4.95874827757232e-80
-3.578810968696e-4,100,6.915688282950891e-80
0.002173302049854553,100,9.644901422296266e-80
0.004704485196578734,100,1.3451143636570863e-79
0.007235668343302887,100,1.875943085116891e-79
0.009766851490027068,100,2.6162493506637205e-79
0.01229803463675122,100,3.6486956082475695e-79
0.014829217783475401,100,5.0885630057506294e-79
0.017360400930199554,100,7.096622397081296e-79
0.019891584076923735,100,9.897083967718046e-79
0.022422767223647888,100,1.380262933351856e-78
0.02495395037037207,100,1.924932059690832e-78
0.027485133517096222,100,2.684528341247665e-78
0.030016316663820403,100,3.743859868862317e-78
0.032547499810544556,100,5.221198175528516e-78
0.035078682957268736,100,7.281481798959784e-78
0.03760986610399289,100,1.015472937596693e-77
0.04014104925071707,100,1.4161717653577514e-77
0.04267223239744122,100,1.9749790715100243e-77
0.045203415544165404,100,2.7542797553242427e-77
0.04773459869088956,100,3.841073208774722e-77
0.05026578183761374,100,5.356684882210729e-77
0.05279696498433789,100,7.470309399337634e-77
0.05532814813106207,100,1.0417896854099048e-76
0.057859331277786225,100,1.4528490276661944e-76
0.060390514424510405,100,2.0260953870971622e-76
0.06292169757123456,100,2.825519130911651e-76
0.06545288071795874,100,3.9403570534725097e-76
0.06798406386468289,100,5.495052664629631e-76
0.07051524701140707,100,7.663145915753992e-76
0.07304643015813123,100,1.0686642518970316e-75
0.07557761330485538,100,1.4903024528976363e-75
0.07810879645157956,100,2.0782916596369027e-75
0.08063997959830371,100,2.898261142038847e-75
0.08317116274502787,100,4.041731611456269e-75
0.08570234589175205,100,5.636329347530582e-75
0.08823352903847623,100,7.860029651681522e-75
0.09076471218520041,100,1.096101908777309e-74
0.09329589533192453,100,1.5285392949393175e-74
0.09582707847864871,100,2.131577868216653e-74
0.0983582616253729,100,2.9725195136104082e-74
0.10088944477209708,100,4.145215754952411e-74
0.1034206279188212,100,5.780540874432362e-74
0.10595181106554538,100,8.060996262338266e-74
0.10848299421226956,100,1.1241075549909621e-73
0.11101417735899374,100,1.5675662829711173e-73
0.11354536050571787,100,2.1859632534126738e-73
0.11607654365244205,100,3.0483069311568344e-73
0.11860772679916623,100,4.2508268934652344e-73
0.12113890994589041,100,5.927711130469202e-73
0.12367009309261454,100,8.266078506484304e-73
0.12620127623933872,100,1.1526856819248336e-072
0.1287324593860629,100,1.6073895727461058e-72
0.13126364253278708,100,2.2414562490340989e-72
0.1337948256795112,100,3.1256349452094624e-72
0.13632600882623538,100,4.3585808398097395e-72
0.13885719197295956,100,6.077861754703853e-72
0.14138837511968375,100,8.475305983480631e-72
0.14391955826640787,100,1.1818403365764648e-71
0.14645074141313205,100,1.648014694986116e-71
0.14898192455985623,100,2.2980644098289715e-71
0.1515131077065804,100,3.2045138700233886e-71
0.15404429085330454,100,4.468491668233845e-71
0.15657547400002872,100,6.231011941377113e-71
0.1591066571467529,100,8.688704854866092e-71
0.16163784029347703,100,1.2115750825507776e-70
0.1641690234402012,100,1.689446500744658e-70
0.1667002065869254,100,2.3557943349478894e-70
0.16923138973364957,100,3.284952676364192e-70
0.1717625728803737,100,4.58057156423247e-70
0.17429375602709787,100,6.387178229528688e-70
0.17682493917382205,100,8.906297549664377e-70
0.17935612232054624,100,1.2418929587805914e-69
0.18188730546727036,100,1.7316891035839179e-69
0.18441848861399454,100,2.4146515869484304e-69
0.18694967176071872,100,3.36695887805538e-69
0.1894808549074429,100,4.694830665633453e-69
0.19201203805416703,100,6.5463742804029e-69
0.1945432212008912,100,9.128102452595549e-69
0.1970744043476154,100,1.272796435854993e-68
0.19960558749433957,100,1.7747458184055206e-68
0.2021367706410637,100,2.474640606117582e-68
0.20466795378778788,100,3.4505384119727345e-68
0.20719913693451206,100,4.8112768945126394e-68
0.20973032008123624,100,6.7086106420257475e-68
0.21226150322796036,100,9.354133574337892e-68
0.21479268637468454,100,1.304287369835492e-67
0.21732386952140872,100,1.818619096765288e-67
0.2198550526681329,100,2.5357646198746897e-67
0.22238623581485703,100,3.5356955111571165e-67
0.2249174189615812,100,4.9299157794785015e-67
0.2274486021083054,100,6.873894500303557e-67
0.22997978525502957,100,9.584400202931757e-67
0.2325109684017537,100,1.3363669534342702e-66
0.23504215154847788,100,1.8633104584969883e-66
0.23757333469520206,100,2.59802554700906e-66
0.24010451784192618,100,3.622432570698871e-66
0.24263570098865037,100,5.050750267845619e-66
0.24516688413537455,100,7.042229415974954e-66
0.24769806728209873,100,9.81890653538464e-66
0.2502292504288228,100,1.3690356644218316e-65
0.252760433575547,100,1.908820419459996e-65
0.2552916167222712,100,2.661423896494861e-65
0.25782279986899537,100,3.71075000603375e-65
0.26035398301571955,100,5.173780527188127e-65
0.26288516616244373,100,7.2136150467049014e-65
0.2654163493091679,100,1.0057651288492927e-64
0.2679475324558921,100,1.4022932111262864e-64
0.27047871560261616,100,1.9551484152170747e-64
0.27300989874934034,100,2.725958660611718e-64
0.2755410818960645,100,3.800646103273792e-64
0.2780722650427887,100,5.299003735749587e-64
0.2806034481895129,100,7.38804685358256e-64
0.28313463133623706,100,1.0300627287841174e-63
0.28566581448296124,100,1.4361384748801982e-63
0.2881969976296854,100,2.0022927204415923e-63
0.2907281807764095,100,2.7916272020889805e-63
0.2932593639231337,100,3.892116861174809e-63
0.29579054706985786,100,5.426413861152275e-63
0.29832173021658204,100,7.565515791255266e-63
0.3008529133633062,100,1.0547821033900103e-62
0.3033840965100304,100,1.470569449262619e-62
0.3059152796567546,100,2.050250363841193e-62
0.30844646280347876,100,2.8584251349787775e-62
0.31097764595020283,100,3.985155824330348e-62
0.313508829096927,100,5.556001426828864e-62
0.3160400122436512,100,7.746007980880699e-62
0.3185711953903754,100,1.0799212244095168e-61
0.32110237853709955,100,1.505583175979415e-61
0.32363356168382373,100,2.0990170383771715e-61
0.3261647448305479,100,2.9263461989461772e-61
0.328695927977272,100,4.079753907156239e-61
0.33122711112399617,100,5.6877532655727556e-61
0.33375829427072035,100,7.929504365056014e-61
0.3362894774174445,100,1.1054773369653226e-60
0.3388206605641687,100,1.541175677215146e-60
0.3413518437108929,100,2.1485870065486008e-60
0.34388302685761707,100,2.995382126654735e-60
0.34641421000434125,100,4.1758992082141183e-60
0.34894539315106543,100,5.82165225957055e-60
0.3514765762977896,100,8.115980343839145e-60
0.3540077594445137,100,1.1314469085998779e-59
0.35653894259123786,100,1.5773418842837217e-59
0.35907012573796204,100,2.1989530004977807e-59
0.3616013088846862,100,3.0655225039078053e-59
0.3641324920314104,100,4.273576814400556e-59
0.3666636751781346,100,5.957677066255526e-59
0.36919485832485877,100,8.305405390931454e-59
0.37172604147158295,100,1.1578255755395803e-58
0.374257224618307,100,1.6140755623970615e-58
0.3767884077650312,100,2.250106116684114e-58
0.3793195909117554,100,3.1367546221901467e-58
0.38185077405847956,100,4.372768594505828e-58
0.38438195720520374,100,6.095801829291016e-58
0.3869131403519279,100,8.497742649054474e-58
0.3894443234986521,100,1.1846080860480607e-57
0.3919755066453763,100,1.6513692313613815e-57
0.39450668979210035,100,2.302035704862089e-57
0.39703787293882453,100,3.209063323241504e-57
0.3995690560855487,100,4.473452981622323e-57
0.4021002392322729,100,6.235995873953905e-57
0.4046314223789971,100,8.692948503509789e-57
0.40716260552572126,100,1.2117882407277142e-56
0.40969378867244544,100,1.689214082002917e-56
0.4122249718191695,100,2.3547292510842786e-56
0.4147561549658937,100,3.2824308352720385e-56
0.41728733811261787,100,4.575604743863712e-56
0.41981852125934205,100,6.378223386165755e-56
0.42234970440606623,100,8.890972132854831e-56
0.4248808875527904,100,1.2393588296197703e-55
0.4274120706995146,100,1.727599888117094e-55
0.42994325384623877,100,2.4081722544415687e-55
0.43247443699296284,100,3.356836600415045e-55
0.435005620139687,100,4.6791947428244515e-55
0.4375368032864112,100,6.522443074373713e-55
0.4400679864331354,100,9.091755035593864e-55
0.44259916957985956,100,1.2673115659486915e-54
0.44513035272658374,100,1.766514913721851e-54
0.4476615358733079,100,2.462348097235506e-54
0.4501927190200321,100,3.4322570929938737e-54
0.4527239021667562,100,4.784189679187903e-54
0.45525508531348036,100,6.668607813453712e-54
0.45778626846020454,100,9.295230531717541e-54
0.4603174516069287,100,1.2956370163489e-53
0.4628486347536529,100,1.805945815390787e-53
0.4653798179003771,100,2.5172379082663605e-53
0.46791100104710126,100,3.508665628157682e-53
0.47044218419382544,100,4.890551824864556e-53
0.4729733673405495,100,6.81666426977084e-53
0.4755045504872737,100,9.501323237881069e-53
0.4780357336339979,100,1.3243245274035582e-52
0.48056691678072205,100,1.8458775394272866e-52
0.48309809992744623,100,2.5728204189060398e-52
0.4856292830741704,100,3.5860321604232186e-52
0.4881604662208946,100,4.998238741008229e-52
0.49069164936761867,100,6.966552506486287e-52
0.49322283251434285,100,9.709948514955824e-52
0.495754015661067,100,1.353362148318451e-51
0.4982851988077912,100,1.8862932136322933e-51
0.5008163819545154,100,2.6290718116077326e-51
0.5033475651012396,100,3.664323071639019e-51
0.5058787482479637,100,5.107202981235965e-51
0.5084099313946879,100,7.118205568164926e-51
0.510941114541412,100,9.921011886623382e-51
0.5134722976881362,100,1.3827365495460377e-50
0.5160034808348604,100,1.9271740334070531e-50
0.5185346639815845,100,2.685965560490468e-50
0.5210658471283087,100,3.7435009478622437e-50
0.5235970302750329,100,5.217391779341392e-50
0.5261282134217571,100,7.271549043693094e-50
0.5286593965684813,100,1.0134408427628547e-49
0.5311905797152053,100,1.412432937164781e-49
0.5337217628619295,100,1.9684991419187653e-49
0.5362529460086537,100,2.7434722636205347e-49
0.5387841291553779,100,3.8235243446217684e-49
0.5413153123021021,100,5.328746720758804e-49
0.5438464954488262,100,7.426500606469909e-49
0.5463776785955504,100,1.0350022120245959e-48
0.5489088617422746,100,1.4424349628124863e-48
0.5514400448889987,100,2.0102455040463507e-48
0.5539712280357229,100,2.801559466591476e-48
0.556502411182447,100,3.904347540010647e-48
0.5590335943291712,100,5.4412033970074497e-48
0.5615647774758954,100,7.582969530786291e-48
0.5640959606226196,100,1.056772517743759e-47
0.5666271437693438,100,1.4727246289607595e-47
0.5691583269160678,100,2.0523877738108858e-47
0.571689510062792,100,2.860191476991178e-47
0.5742206932095162,100,3.9859202750300856e-47
0.5767518763562404,100,5.554691042302375e-47
0.5792830595029645,100,7.740856183265619e-47
0.5818142426496887,100,1.0787377331127957e-46
0.5843454257964129,100,1.503282189309659e-46
0.5868766089431371,100,2.0948981549796253e-46
0.5894077920898612,100,2.9193291693210756e-46
0.5919389752365853,100,4.068187480580941e-46
0.5944701583833095,100,5.669132151487174e-46
0.5970013415300337,100,7.90005148817518e-46
0.5995325246767579,100,1.1008825083934054e-45
0.6020637078234821,100,1.5340860440716572e-45
0.6045948909702062,100,2.137746254521656e-45
0.6071260741169304,100,2.978929779916039e-45
0.6096572572636545,100,4.1510889904679115e-45
0.6121884404103787,100,5.784442078406051e-45
0.6147196235571029,100,8.060436365379562e-45
0.617250806703827,100,1.1231900922625208e-44
0.6197819898505512,100,1.5651126299020891e-44
0.6223131729972754,100,2.1808989285764394e-44
0.6248443561439996,100,3.038946691392589e-44
0.6273755392907238,100,4.234559239756529e-44
0.6299067224374478,100,5.900528613786947e-44
0.632437905584172,100,8.221881139636218e-44
0.6349690887308962,100,1.1456422491505442e-43
0.6375002718776204,100,1.5963363042243265e-43
0.6400314550243446,100,2.224320120581434e-43
0.6425626381710687,100,3.099329206130714e-43
0.6450938213177929,100,4.318526947793445e-43
0.647625004464517,100,6.017291541673375e-43
0.6501561876112412,100,8.384244919888808e-43
0.6526873707579653,100,1.168219172382854e-42
0.6552185539046895,100,1.6277292236852577e-42
0.6577497370514137,100,2.2679706911905606e-42
0.6602809201981379,100,3.16002230827335e-42
0.6628121033448621,100,4.402914785165275e-42
0.6653432864915862,100,6.134622173394236e-42
0.6678744696383103,100,8.54737494714218e-42
0.6704056527850345,100,1.1908993929273091e-41
0.6729368359317587,100,1.6592612164649282e-41
0.6754680190784829,100,2.3118082395969774e-41
0.677999202225207,100,3.22096641370368e-41
0.6805303853719312,100,4.4876390238444345e-41
0.6830615685186554,100,6.252402858016093e-41
0.6855927516653796,100,8.71110590944807e-41
0.6881239348121037,100,1.2136596835416663e-40
0.6906551179588278,100,1.6908996481525444e-40
0.693186301105552,100,2.3557869158575368e-40
0.6957174842522762,100,3.2820971074374305e-40
0.6982486673990004,100,4.5726091697323145e-40
0.7007798505457246,100,6.370506468177936e-40
0.7033110336924487,100,8.87525922245785e-40
0.7058422168391729,100,1.236474958105233e-39
0.708373399985897,100,1.7226092808871994e-39
0.7109045831326212,100,2.399857223797106e-39
0.7134357662793454,100,3.343344867840484e-39
0.7159669494260695,100,4.657727576777402e-39
0.7184981325727937,100,6.48879586015551e-39
0.7210293157195179,100,9.039642273935312e-39
0.7235604988662421,100,1.2593181659098302e-38
0.7260916820129661,100,1.754352125448966e-38
0.7286228651596903,100,2.4439658140537485e-38
0.7311540483064145,100,3.404634777057243e-38
0.7336852314531387,100,4.742889041806549e-38
0.7362164145998629,100,6.607123306953771e-38
0.738747597746587,100,9.2040476305459e-38
0.7412787808933112,100,1.2821601806752262e-37
0.7438099640400354,100,1.786087285971166e-37
0.7463411471867595,100,2.488055266803892e-37
0.7488723303334837,100,3.4658862170061708e-37
0.7514035134802078,100,4.827980379173251e-37
0.753934696626932,100,6.7253299031693e-37
0.7564658797736562,100,9.368252205165226e-37
0.7589970629203804,100,1.3049696840428574e-36
0.7615282460671046,100,1.8177707969307794e-36
0.7640594292138287,100,2.5320638636886148e-36
0.7665906123605528,100,3.527012550272206e-36
0.769121795507277,100,4.912879974282118e-36
0.7716529786540012,100,6.843244940312328e-36
0.7741841618007254,100,9.532016382874913e-36
0.7767153449474495,100,1.3277130432915266e-35
0.7792465280941737,100,1.8493554520582369e-35
0.7817777112408979,100,2.575925348437964e-35
0.7843088943876221,100,3.587920785193954e-35
0.7868400775343461,100,4.997457315009392e-35
0.7893712606810703,100,6.960685251215678e-35
0.7919024438277945,100,9.695083103724562e-35
0.7944336269745187,100,1.350354183007248e-34
0.7969648101212429,100,1.8807906247916558e-34
0.799495993267967,100,2.6195686756710854e-34
0.8020271764146912,100,3.6485112244134627e-34
0.8045583595614153,100,5.081572499996374e-34
0.8070895427081395,100,7.077454522100081e-34
0.8096207258548637,100,9.857176900261679e-34
0.8121519090015878,100,1.3728544504270278e-33
0.814683092148312,100,1.9120220798840883e-33
0.8172142752950362,100,2.662917747323434e-33
0.8197454584417604,100,3.708677096123464e-33
0.8222766415884846,100,5.165075722745002e-33
0.8248078247352086,100,7.193342570798381e-33
0.8273390078819328,100,1.0018002887735946e-32
0.829870191028657,100,1.3951724741644808e-32
0.8324013741753812,100,1.9429917757554733e-32
0.8349325573221053,100,2.705891136130652e-32
0.8374637404688295,100,3.768304167213047e-32
0.8399949236155536,100,5.247806730398793e-32
0.8425261067622779,100,7.308124589579154e-32
0.845057289909002,100,1.0177245704795919e-31
0.8475884730557263,100,1.4172640160116226e-31
0.8501196562024503,100,1.9736376571619255e-031
0.8526508393491746,100,2.7484017955716756e-31
0.8551820224958987,100,3.8272703374772085e-31
0.8577132056426228,100,5.329594256042857e-31
0.8602443887893471,100,7.421560350935954e-31
0.8627755719360711,100,1.033456840239491e-30
0.8653067550827954,100,1.4390818154982616e-30
0.8678379382295195,100,2.0038934377369525e-30
0.8703691213762438,100,2.790356755647455e-30
0.8729003045229679,100,3.885445214019259e-30
0.8754314876696919,100,5.410255423303391e-30
0.8779626708164162,100,7.533393374641986e-30
0.8804938539631403,100,1.048961127852777e-29
0.8830250371098646,100,1.4605754268761708e-29
0.8855562202565886,100,2.033688371938539e-29
0.8880874034033129,100,2.8316568038462464e-29
0.890618586550037,100,3.9426896649351356e-29
0.8931497696967611,100,5.489595121975951e-29
0.8956809528434854,100,7.643350054287125e-29
0.8982121359902094,100,1.0641990656309023e-28
0.9007433191369337,100,1.481691048179672e-28
0.9032745022836578,100,2.062947015916633e-28
0.9058056854303821,100,2.872196150613002e-28
0.9083368685771062,100,3.9988553513306594e-28
0.9108680517238305,100,5.567405353353503e-28
0.9133992348705545,100,7.751138741444155e-28
0.9159304180172786,100,1.0791297602797625e-27
0.9184616011640029,100,1.5023713420003632e-27
0.920992784310727,100,2.091588976792946e-27
0.9235239674574512,100,2.9118620786156484e-27
0.9260551506041753,100,4.053784236678632e-27
0.9285863337508996,100,5.6434645438652204e-27
0.9311175168976237,100,7.856448785522255e-27
0.9336487000443477,100,1.093709658585435e-26
0.936179883191072,100,1.5225552475964222e-26
0.9387110663377961,100,2.1195286498234857e-26
0.9412422494845204,100,2.9505345750660487e-26
0.9437734326312445,100,4.1073080724806165e-26
0.9463046157779688,100,5.717536825582077e-26
0.9488357989246928,100,7.95894952728459e-26
0.9513669820714171,100,1.107892406620469e-25
0.9538981652181412,100,1.5421777839410222e-25
0.9564293483648653,100,2.146674942889979e-25
0.9589605315115896,100,2.98808594632268e-25
0.9614917146583136,100,4.159247859150845e-25
0.9640228978050379,100,5.7893712820728345e-25
0.966554080951762,100,8.058289243914017e-25
0.9690852640984863,100,1.1216287021747042e-24
0.9716164472452103,100,1.5611698432962782e-24
0.9741476303919344,100,2.1729309877431917e-24
0.9766788135386587,100,3.0243804139666897e-24
0.9792099966853828,100,4.2094132809944805e-24
0.9817411798321071,100,5.8587011580336975e-24
0.9842723629788311,100,8.15409404342255e-24
0.9868035461255554,100,1.1348661401028213e-23
0.9893347292722795,100,1.5794579748818638e-23
0.9918659124190036,100,2.198193837394536e-23
0.9943970955657279,100,3.059273691509137e-23
0.9969282787124519,100,4.257602114100457e-23
0.9994594618591762,100,5.925243031044421e-23
1.0019906450059002,100,8.245966706098547e-23
1.0045218281526245,100,1.1475490502655102e-22
1.0070530112993485,100,1.596964158187573e-22
1.0095841944460728,100,2.222354149026889e-22
1.012115377592797,100,3.092612540848552e-22
1.014646560739521,100,4.303599605919164e-22
1.0171777438862453,100,5.988695943729313e-22
1.0197089270329693,100,8.33348547058898e-22
1.0222401101796936,100,1.1596183277290396e-21
1.0247712933264177,100,1.6136055654602312e-21
1.027302476473142,100,2.245295851766652e-21
1.029833659619866,100,3.1242343075605844e-21
1.0323648427665901,100,4.3471778252398605e-21
1.0348960259133144,100,6.048740494528478e-21
1.0374272090600385,100,8.416202762102272e-21
1.0399583922067628,100,1.1710112548714748e-20
1.0424895753534869,100,1.6292943128734735e-20
1.0450207585002111,100,2.266895798632332e-20
1.0475519416469352,100,3.15396643406027e-20
1.0500831247936593,100,4.388094981227457e-20
1.0526143079403836,100,6.105037885204037e-20
1.0551454910871076,100,8.493643860116575e-20
1.057676674233832,100,1.1816613150298445e-19
1.060207857380556,100,1.643937199869308e-19
1.0627390405272803,100,2.287023401942597e-19
1.0652702236740044,100,3.181625949636165e-19
1.0678014068207287,100,4.4260947101197e-19
1.0703325899674527,100,6.15722892312536e-19
1.0728637731141768,100,8.565305502854434e-19
1.075394956260901,100,1.1914979973053024e-18
1.0779261394076252,100,1.6574354361360863e-18
1.0804573225543495,100,2.3055402514367085e-18
1.0829885057010735,100,3.2070189363118894e-18
1.0855196888477978,100,4.460905328123161e-18
1.0880508719945219,100,6.204932976292019e-18
1.090582055141246,100,8.630654425671584e-18
1.0931132382879702,100,1.2004465921277141e-17
1.0956444214346943,100,1.6696843556654642e-17
1.0981756045814186,100,2.3222997143278665e-17
1.1007067877281427,100,3.229939969444154e-17
1.103237970874867,100,4.492239048985051e-17
1.105769154021591,100,6.247746878962333e-17
1.1083003371683153,100,8.689125830378647e-17
1.1108315203150394,100,1.2084279771628423e-16
1.1133627034617635,100,1.6805731173056256e-16
1.1158938866084878,100,2.3371465164749006e-16
1.1184250697552118,100,3.2501715319199083e-16
1.1209562529019361,100,4.519791164648457e-16
1.1234874360486602,100,6.285243785664632e-16
1.1260186191953845,100,8.740121782387489e-16
1.1285498023421086,100,1.2153583931277037e-15
1.1310809854888326,100,1.6899843912036589e-15
1.133612168635557,100,2.349916303823271e-15
1.136143351782281,100,3.2674834007641496e-15
1.1386745349290053,100,4.5432391873322485e-15
1.1412057180757293,100,6.316971971268589e-15
1.1437369012224536,100,8.783009532440497e-15
1.1462680843691777,100,1.221149209060179e-14
1.1487992675159018,100,1.6977940305025318e-14
1.151330450662626,100,2.3604351832282704e-14
1.1538616338093501,100,3.2816320049201386e-14
1.1563928169560744,100,4.562241951301616e-14
1.1589240001027985,100,6.342453574696609e-14
1.1614551832495228,100,8.817119759529947e-14
1.1639863663962469,100,1.2257066765699117e-13
1.1665175495429712,100,1.7038707276312994e-13
1.1690487326896952,100,2.3685192417360814e-13
1.1715799158364193,100,3.292359752908131e-13
1.1741110989831436,100,4.576438672522819e-13
1.1766422821298677,100,6.361183283746611e-13
1.179173465276592,100,8.841744731481008e-13
1.181704648423316,100,1.2289316725763273e-12
1.1842358315700403,100,1.708075654497287e-12
1.1867670147167644,100,2.3739740433569353e-12
1.1892981978634884,100,3.2993943290130633e-12
1.1918293810102127,100,4.585447964314769e-12
1.1943605641569368,100,6.372626958388748e-12
1.196891747303661,100,8.856136379508279e-12
1.1994229304503852,100,1.230719430018326e-11
1.2019541135971095,100,1.7102620858610928e-11
1.2044852967438335,100,2.3765941023230526e-11
1.2070164798905578,100,3.302447956593831e-11
1.209547663037282,100,4.5888668070288783e-11
1.212078846184006,100,6.376220189785543e-11
1.2146100293307303,100,8.859504282898943e-11
1.2171412124774543,100,1.230959255998123e-10
